Time Elapsed,MaxAngle,Delay Time,Servo Position,Contact Value,Hand Position
0:0:5:836,180,200,0,0,20,
0:0:5:849,180,200,0,0,20,
0:0:5:861,180,200,0,0,20,
0:0:5:873,180,200,0,0,20,
0:0:5:885,180,200,0,0,20,
0:0:5:899,180,200,0,0,20,
0:0:5:911,180,200,0,0,20,
0:0:5:923,180,200,0,0,20,
0:0:5:936,180,200,0,0,20,
0:0:5:948,180,200,0,0,20,
0:0:5:960,180,200,0,0,20,
0:0:5:972,180,200,0,0,20,
0:0:5:986,180,200,0,0,20,
0:0:5:998,180,200,0,0,20,
0:0:6:10,180,200,0,0,20,
0:0:6:23,180,200,0,0,20,
0:0:6:35,180,200,0,0,20,
0:0:6:47,180,200,0,0,20,
0:0:6:60,180,200,0,28,20,
0:0:6:73,180,200,0,0,20,
0:0:6:85,180,200,0,0,20,
0:0:6:97,180,200,0,0,20,
0:0:6:110,180,200,0,0,20,
0:0:6:122,180,200,0,0,20,
0:0:6:134,180,200,0,0,20,
0:0:6:147,180,200,0,0,20,
0:0:6:159,180,200,0,0,20,
0:0:6:171,180,200,0,0,20,
0:0:6:183,180,200,0,0,20,
0:0:6:196,180,200,0,0,21,
0:0:6:208,180,200,0,0,21,
0:0:6:222,180,200,0,0,23,
0:0:6:235,180,200,0,0,26,
0:0:6:247,180,200,0,0,25,
0:0:6:260,180,200,0,0,29,
0:0:6:273,180,200,0,0,30,
0:0:6:285,180,200,0,0,34,
0:0:6:297,180,200,0,0,36,
0:0:6:309,180,200,0,0,38,
0:0:6:322,180,200,0,0,41,
0:0:6:335,180,200,0,0,39,
0:0:6:348,180,200,0,0,40,
0:0:6:361,180,200,0,0,40,
0:0:6:374,180,200,0,0,43,
0:0:6:387,180,200,0,0,40,
0:0:6:401,180,200,0,0,42,
0:0:6:413,180,200,1,0,41,
0:0:6:426,180,200,2,0,41,
0:0:6:439,180,200,7,0,41,
0:0:6:453,180,200,17,0,41,
0:0:6:465,180,200,21,24,44,
0:0:6:478,180,200,32,22,44,
0:0:6:492,180,200,43,0,42,
0:0:6:505,180,200,56,14,44,
0:0:6:518,180,200,71,8,42,
0:0:6:532,180,200,84,11,41,
0:0:6:545,180,200,99,16,43,
0:0:6:558,180,200,105,11,46,
0:0:6:572,180,200,110,135,44,
0:0:6:585,180,200,114,325,44,
0:0:6:598,110,200,120,518,46,
0:0:6:611,110,200,118,532,46,
0:0:6:625,110,200,121,508,46,
0:0:6:638,110,200,122,499,45,
0:0:6:651,110,200,121,475,43,
0:0:6:664,110,200,121,473,44,
0:0:6:677,110,200,121,465,43,
0:0:6:691,110,200,126,452,45,
0:0:6:705,110,200,130,435,44,
0:0:6:718,110,200,130,434,42,
0:0:6:731,110,200,133,424,46,
0:0:6:745,110,200,132,420,48,
0:0:6:757,110,200,127,420,46,
0:0:6:770,110,200,129,421,45,
0:0:6:784,110,200,135,417,45,
0:0:6:797,110,200,136,416,45,
0:0:6:810,110,200,137,412,47,
0:0:6:823,110,200,143,412,45,
0:0:6:837,110,200,132,412,46,
0:0:6:850,110,200,123,416,45,
0:0:6:863,110,200,119,414,43,
0:0:6:877,110,200,113,417,45,
0:0:6:890,110,200,110,417,45,
0:0:6:903,110,200,110,410,44,
0:0:6:917,110,200,110,407,45,
0:0:6:930,110,200,110,406,46,
0:0:6:943,110,200,110,405,43,
0:0:6:957,110,200,110,411,45,
0:0:6:970,110,200,110,409,42,
0:0:6:983,110,200,110,407,45,
0:0:6:996,110,200,110,408,43,
0:0:7:10,110,200,110,408,47,
0:0:7:23,110,200,110,416,45,
0:0:7:36,110,200,110,410,45,
0:0:7:50,110,200,110,408,47,
0:0:7:63,110,200,110,409,47,
0:0:7:76,110,200,110,406,45,
0:0:7:90,110,200,110,404,43,
0:0:7:103,110,200,110,407,44,
0:0:7:116,110,200,110,407,47,
0:0:7:130,110,200,119,407,45,
0:0:7:143,110,200,117,406,44,
0:0:7:156,110,200,114,404,46,
0:0:7:170,110,200,114,402,48,
0:0:7:183,110,200,112,403,47,
0:0:7:196,110,200,110,406,45,
0:0:7:209,110,200,110,405,42,
0:0:7:223,110,200,110,404,41,
0:0:7:236,110,200,110,405,41,
0:0:7:249,110,200,110,405,41,
0:0:7:262,110,200,110,409,35,
0:0:7:274,110,200,110,406,34,
0:0:7:287,110,200,110,405,33,
0:0:7:300,110,200,110,405,28,
0:0:7:313,110,200,110,406,29,
0:0:7:325,110,200,110,403,29,
0:0:7:339,110,200,110,403,29,
0:0:7:351,110,200,110,400,25,
0:0:7:363,110,200,110,400,24,
0:0:7:376,110,200,110,398,23,
0:0:7:389,110,200,110,396,22,
0:0:7:401,110,200,110,394,21,
0:0:7:414,110,200,110,392,20,
0:0:7:427,110,200,115,392,20,
0:0:7:439,110,200,114,395,20,
0:0:7:452,110,200,112,388,20,
0:0:7:464,110,200,112,388,20,
0:0:7:478,110,200,103,391,20,
0:0:7:490,110,200,94,385,20,
0:0:7:502,110,200,86,394,20,
0:0:7:516,110,200,70,263,20,
0:0:7:528,110,200,61,136,20,
0:0:7:541,110,200,56,8,20,
0:0:7:554,110,200,52,4,20,
0:0:7:566,110,200,42,3,20,
0:0:7:579,110,200,35,11,20,
0:0:7:591,110,200,28,0,20,
